	0	1
0	un	B-COMPANY
1	##ih	I-COMPANY
2	##ak	I-COMPANY
3	##ka	I-COMPANY
4	international	I-COMPANY
5	sd	I-COMPANY
6	##n	I-COMPANY
7	b	I-COMPANY
8	##hd	I-COMPANY
9	09	I-COMPANY
10	apr	I-COMPANY
11	2018	B-TOTAL
12	18	I-TOTAL
13	:	I-TOTAL
14	26	I-TOTAL
15	(	I-TOTAL
16	86	O
17	##7	O
18	##38	O
19	##8	O
20	-	O
21	u	O
22	)	O
23	12	O
24	,	O
25	jalan	O
26	tam	O
27	##po	B-ADDRESS
28	##i	I-ADDRESS
29	7	I-ADDRESS
30	/	I-ADDRESS
31	4	I-ADDRESS
32	,	I-ADDRESS
33	ka	I-ADDRESS
34	##was	I-ADDRESS
35	##an	I-ADDRESS
36	per	I-ADDRESS
37	##ind	I-ADDRESS
38	##ust	I-ADDRESS
39	##rian	I-ADDRESS
40	tam	I-ADDRESS
41	##po	I-ADDRESS
42	##i	I-ADDRESS
43	,	I-ADDRESS
44	81	I-ADDRESS
45	##200	I-ADDRESS
46	johor	I-ADDRESS
47	ba	I-ADDRESS
48	##hr	I-ADDRESS
49	##u	I-ADDRESS
50	,	I-ADDRESS
51	johor	I-ADDRESS
52	taxi	I-ADDRESS
53	##n	I-ADDRESS
54	##vo	I-ADDRESS
55	##ice	I-ADDRESS
56	in	I-ADDRESS
57	##vo	I-ADDRESS
58	##ice	I-ADDRESS
59	#	O
60	:	O
61	or	O
62	##18	O
63	##0	O
64	##40	O
65	##90	O
66	##21	O
67	##60	O
68	##29	O
69	##9	O
70	total	O
71	item	O
72	q	O
73	##ty	O
74	sr	O
75	i	O
76	##00	O
77	##100	O
78	##00	O
79	##00	O
80	##60	O
81	-	O
82	4	O
83	ve	O
84	##ge	O
85	$	O
86	5	O
87	.	O
88	50	O
89	$	O
90	5	O
91	.	O
92	50	O
93	1	O
94	sr	O
95	i	O
96	##00	O
97	##100	O
98	##00	O
99	##00	O
100	##0	O
101	##6	O
102	-	O
103	pork	O
104	$	O
105	2	O
106	.	O
107	70	O
108	1	O
109	$	O
110	2	O
111	.	O
112	70	O
113	total	O
114	amount	O
115	:	O
116	$	O
117	8	O
118	.	O
119	20	O
120	gs	O
121	##t	O
122	@	O
123	6	O
124	%	O
125	:	O
126	$	O
127	0	O
128	.	O
129	46	O
130	net	O
131	##t	O
132	total	O
133	:	O
134	$	O
135	8	O
136	.	O
137	20	O
138	amount	O
139	payment	O
140	mode	O
141	$	O
142	8	O
143	.	O
144	20	O
145	cash	O
146	$	O
147	0	O
148	.	O
149	00	O
150	change	O
151	gs	O
152	##t	O
153	summary	O
154	amount	O
155	(	O
156	$	O
157	)	O
158	tax	O
159	(	O
160	$	O
161	)	O
162	sr	O
163	=	O
164	gs	O
165	##t	O
166	@	O
167	6	O
168	%	O
169	7	O
170	.	O
171	74	O
172	0	O
173	.	O
174	46	O
175	gs	O
176	##t	O
177	reg	O
178	#	O
179	000	O
180	##65	O
181	##6	O
182	##19	O
183	##55	O
184	##8	O
185	##4	O
